using donkey v2.2.1 ...
loading config file: /home/pi/d2/config.py
config loaded
PiCamera loaded.. .warming camera
Adding part PiCamera.
Adding part JoystickController.
Adding part Lambda.
Adding part KerasCategorical.
Adding part Lambda.
Adding part PWMSteering.
Adding part PWMThrottle.
path_in_tub: /home/pi/d2/data/tub_9_18-03-22
Tub does NOT exist. Creating new tub...
New tub created at: /home/pi/d2/data/tub_9_18-03-22
Adding part TubWriter.
Opening /dev/input/js0...
Starting vehicle...
Device name: PLAYSTATION(R)3 Controller
throttle 0.010315256202887051
throttle 0.020630512405774102
throttle 0.05157628101443525
throttle 0.13403729361857966
throttle 0.14435254982146672
throttle 0.15466780602435376
throttle 0.14435254982146672
throttle 0.15466780602435376
throttle 0.13403729361857966
throttle 0.09280678731650746
throttle -0.0
throttle 0.09280678731650746
throttle 0.14435254982146672
throttle 0.17526779992065186
throttle 0.16498306222724082
throttle 0.18558305612353893
throttle 0.17526779992065186
throttle 0.18558305612353893
throttle 0.17526779992065186
throttle 0.195898312326426
throttle 0.2165288247322001
throttle 0.2371288186284982
throttle 0.22681356242561113
throttle 0.2371288186284982
throttle 0.22681356242561113
throttle 0.2165288247322001
throttle 0.20621356852931302
throttle 0.2165288247322001
throttle 0.20621356852931302
throttle 0.2165288247322001
throttle 0.20621356852931302
throttle 0.2165288247322001
throttle 0.22681356242561113
throttle 0.2371288186284982
throttle 0.24744407483138522
throttle 0.2577593310342723
throttle 0.24744407483138522
throttle 0.2577593310342723
throttle 0.2680745872371593
throttle 0.28867458113345745
throttle 0.2989898373363445
throttle 0.28867458113345745
throttle 0.2989898373363445
throttle 0.28867458113345745
throttle 0.2783593249305704
throttle 0.2680745872371593
throttle 0.2577593310342723
throttle 0.2371288186284982
throttle -0.0
throttle 0.10312204351939451
throttle 0.12372203741569261
throttle 0.09280678731650746
throttle 0.08249153111362041
throttle 0.09280678731650746
throttle 0.13403729361857966
throttle 0.14435254982146672
throttle 0.2165288247322001
throttle 0.20621356852931302
throttle 0.195898312326426
throttle 0.20621356852931302
throttle 0.2165288247322001
throttle 0.22681356242561113
throttle 0.28867458113345745
throttle 0.3196203497421186
throttle 0.3402203436384167
throttle 0.32993560594500565
throttle 0.3196203497421186
throttle 0.3093050935392315
throttle 0.2989898373363445
throttle 0.15466780602435376
throttle 0.12372203741569261
throttle 0.061861018707846306
throttle 0.05157628101443525
throttle 0.030945768608661155
throttle 0.061861018707846306
throttle 0.09280678731650746
throttle 0.17526779992065186
throttle 0.2989898373363445
throttle 0.28867458113345745
throttle 0.2989898373363445
throttle 0.28867458113345745
throttle 0.2783593249305704
throttle 0.2680745872371593
throttle 0.10312204351939451
throttle 0.07217627491073336
throttle 0.08249153111362041
throttle 0.09280678731650746
throttle 0.10312204351939451
throttle 0.12372203741569261
throttle 0.11340678121280556
throttle 0.12372203741569261
throttle 0.15466780602435376
throttle 0.11340678121280556
throttle -0.0
throttle 0.13403729361857966
throttle 0.4433423871578112
throttle 0.4227118747520371
throttle 0.05157628101443525
throttle -0.0
throttle 0.030945768608661155
throttle 0.08249153111362041
throttle 0.5361186559648426
throttle 0.5773491622669149
throttle 0.5876644184698019
throttle 0.5773491622669149
throttle 0.5051728873561815
throttle 0.2783593249305704
throttle 0.20621356852931302
angle 0.3608203375347148
angle 0.6288644062623981
angle 0.6804101687673574
angle 0.8247627185888241
angle 0.7732169560838649
angle 0.6494949186681722
angle 0.020599993896298106
angle 0.2783288064210944
angle 1.0
angle 0.9278542435987427
angle 0.0
angle -0.45362712485122225
angle -0.618579668568987
angle -1.0
angle -0.8866542558061464
angle -0.41239661854915005
angle -0.2783593249305704
angle 0.0
angle 0.8247627185888241
angle 1.0
angle 0.0
angle -0.9691152684102908
angle -1.0
angle 0.0
angle 1.0
angle 0.07214575640125737
angle 0.0
angle -1.0
angle -0.7010711996826074
angle -0.3814813684499649
angle 0.4742271187475204
angle 1.0
angle 0.8247627185888241
angle 0.0
angle -0.020630512405774102
angle -0.9175695059053316
angle -1.0
angle -0.9175695059053316
angle 0.0
angle 0.4433118686483352
angle 1.0
angle 0.8763084810937833
angle 0.6700949125644704
angle 0.0
angle -0.2680745872371593
angle -1.0
angle -0.18558305612353893
angle 0.0
angle 0.3401898251289407
angle 0.5773186437574389
angle 1.0
angle 0.3917355876339
angle 0.0
angle -0.5876644184698019
angle -0.6907559434797205
angle -1.0
angle -0.8763389996032593
angle -0.7319864497817926
angle -0.030945768608661155
angle 0.0
angle 0.49485763115329445
angle 1.0
angle 0.9587694936979277
angle 0.7422711874752037
angle 0.0
angle -0.2680745872371593
angle -0.4845728934598834
angle -1.0
angle 0.19586779381695
angle -0.020630512405774102
angle 0.0
angle 0.5464033936582537
angle 1.0
angle 0.5876338999603259
angle 0.3917355876339
angle 0.0
angle -0.030945768608661155
angle -0.49488814966277045
angle -0.9897457808160649
angle -1.0
angle 0.0
angle 0.020599993896298106
angle 0.17523728141117587
angle 0.20618305001983703
angle 0.2164983062227241
angle 0.2370983001190222
angle 0.2577288125247963
angle 0.24741355632190923
angle 0.22678304391613513
angle 0.0
Shutting down vehicle and its parts...
stoping PiCamera
